date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2013-04-12,-10.309799239166807,-9.710910428482551,-8.202648797431538,-10.07060161281128,-9.459375326039533,-9.560761666722087,-9.81686408846875,-8.912143725018618,-9.645516906629236,-9.923496327031367,,-8.611829737786437,-8.791190733894332,-10.160503043318212,-9.32378437439335,-9.01318568057586,-10.007376016073321,-7.91044527783825,-9.015011469350112,-9.735065282052435,-9.292088334382058,-9.117210627613446,-9.49579453141946,-8.454939738419817,-9.745106913842156,-9.521843373195303,-10.17728098931141,-9.751932451977455,-8.776685561722628,-9.62619557630588
2013-04-15,-9.044167351650627,-8.939239082081768,-8.496059275336897,-9.127158483823502,-8.563043938418648,-8.80140972919473,-9.28205830630445,-8.32394527864015,-8.851105867402497,-8.6163172796901,,-7.736660048169227,-8.154080422328432,-8.862916619782245,-9.138007001351525,-8.433497505652717,-9.427754829424053,-7.995238132256669,-9.756941812917544,-8.988778187074477,-8.98604689895516,-9.09810539556187,-8.73108973847583,-8.193796017623233,-9.396461624101034,-9.275533449352498,-9.338738669798563,-8.981412343285903,-8.301638229812497,-8.78685400282088
2013-04-16,-10.447824757032752,-9.52655710865335,-9.016877379822558,-9.034632423890463,-9.388815977397067,-9.570828947269112,-9.84030088625899,-9.417743351832302,-8.583039814595029,-9.010622126512047,,-7.176465525701002,-9.505580693046287,-9.880232400319942,-9.600772294185996,-9.045285324196291,-9.296904843444775,-8.604974764710745,-10.42025260707846,-9.355056248245504,-8.649908186933827,-9.289320977712949,-9.324059076820442,-8.502587453976957,-9.680935314232467,-8.863164424480031,-9.384081064714287,-9.43299113541256,-9.42796587110208,-9.856380047414586
2013-04-17,-9.436738194902947,-8.901577829158347,-8.631191491744872,-7.714371757372063,-8.599837886018374,-8.556775544226742,-8.846482992241576,-9.013012023235298,-9.016872163461404,-9.31145857770789,,-8.10386279371554,-9.35918935941357,-8.593272406986982,-10.19585698344014,-8.183508291349249,-8.894634831141925,-8.10022100900082,-9.79443875049639,-9.626920487283881,-8.80634020091628,-8.857164558287302,-9.431142539258026,-8.053423245503094,-9.71018865411676,-8.80804654296727,-9.31145993867376,-8.803600041337198,-9.040807893895291,-9.463569335170245
2013-04-18,-9.45510082833151,-8.399728691067246,-8.539276152563671,-8.053205886274196,-8.96248821970688,-8.530034492279622,-9.375443024657754,-8.696003176388702,-9.33967466384988,-9.656868233030627,,-8.251071128176982,-9.568684468493846,-9.173095749168658,-8.874845345476649,-8.66734482621211,-9.690687232814483,-8.194593599887357,-9.17395523427065,-9.483078852499611,-9.1199285804669,-8.69883330340225,-9.60404073019097,-7.601100161738139,-9.444060976048396,-7.119831081327891,-8.47447344312755,-9.33069683032074,-9.195640816754645,-7.9938297939996605
2013-04-19,-9.895690504171288,-8.857653419869768,-8.29277212317781,-7.415962378703752,-8.771869281967788,-8.710683627141446,-9.673944601015068,-8.381699540112333,-9.398789993154193,-9.195066482632921,,-8.760201064503972,-9.558717161728012,-8.51299159772555,-8.301627795236776,-9.506175929624586,-10.082762241114354,-9.569237467216565,-8.367690620539998,-9.572944953785113,-8.189134095012562,-8.821000763479853,-9.487973904399938,-7.090471663862411,-9.827436372100461,-8.222883038887053,-9.382421374722671,-9.414205691491816,-9.204894565908004,-9.18866380580639
2013-04-22,-9.964345611612085,-9.409747434021003,-8.899212939891587,-8.44701329003833,-9.098309536327767,-7.583839529862026,-10.199661640849762,-8.905311304535877,-9.709457430016574,-9.564734781619261,,-8.989516178889234,-8.981242610441003,-9.51762758594975,-9.027992922065165,-7.750221830365303,-10.557769276441439,-8.905825772041826,-9.288425161758108,-10.341607574031562,-7.67499283633154,-9.401643499355758,-10.212683893574049,-8.271595005328528,-10.316462538697696,-8.46331855691146,-10.206676884425649,-9.230203974101144,-9.096348156151068,-10.173456571982586
2013-04-23,-8.917629347123931,-9.130995388786886,-8.190332608210607,-8.164255394852821,-8.498158616191613,-7.8626898729463806,-8.254354955418194,-8.783493508417823,-9.602334028391697,-8.476776125907687,,-8.539719314099326,-8.299294708594111,-8.688953119732743,-8.522108901073391,-8.833808017057363,-9.378384022402063,-8.46531297777133,-9.39037846829931,-9.331135838982966,-9.425927964040152,-8.53175701395138,-9.29687305253043,-8.273623357588043,-8.082694887942694,-8.445766354403458,-9.14169628146641,-8.92446571282192,-8.621339225340067,-8.792616705482136
2013-04-24,-9.768979140036445,-10.021910030819317,-7.43775323080168,-6.604460029263502,-8.2537057402109,-9.253116075792134,-10.000177479920895,-8.66593502193624,-9.596136556119008,-9.36437336692452,,-10.008945525105226,-9.864302396519134,-10.443804434124733,-10.206603295671597,-8.956023062095593,-9.991098187668214,-9.686207691925764,-10.190924673623002,-9.516004732269414,-9.164155889790049,-9.907722473017248,-7.942909896238246,-8.56993789294726,-9.437157990136106,-9.87587753005539,-9.20092877683444,-9.810160166654567,-9.144346998574651,-9.803597802464642
2013-04-25,-8.290929024994115,-9.466989732043888,-7.789913037006911,-8.574571200534248,-8.136561063903788,-9.303142045637815,-9.427043515125106,-8.915349935382624,-9.84027966447048,-9.900846321184504,,-9.510619806108373,-9.873502777242301,-10.568797590282259,-9.85188755482954,-8.48914729174662,-9.428481166369343,-9.657197976633505,-9.862976335575176,-9.891824033938835,-7.726239913013196,-9.550466550416356,-9.22982013753159,-9.87444041481841,-9.449753864721512,-9.274227870077842,-8.874781278750698,-9.19065760674933,-8.842590890542095,-9.839071368739175
